Year,Party
1961,DEMOCRAT
1962,DEMOCRAT
1963,DEMOCRAT
1964,DEMOCRAT
1965,DEMOCRAT
1966,DEMOCRAT
1967,DEMOCRAT
1968,DEMOCRAT
1969,REPUBLICAN
1970,REPUBLICAN
1971,REPUBLICAN
1972,REPUBLICAN
1973,REPUBLICAN
1974,REPUBLICAN
1975,REPUBLICAN
1976,REPUBLICAN
1977,DEMOCRAT
1978,DEMOCRAT
1979,DEMOCRAT
1980,DEMOCRAT
1981,REPUBLICAN
1982,REPUBLICAN
1983,REPUBLICAN
1984,REPUBLICAN
1985,REPUBLICAN
1986,REPUBLICAN
1987,REPUBLICAN
1988,REPUBLICAN
1989,REPUBLICAN
1990,REPUBLICAN
1991,REPUBLICAN
1992,REPUBLICAN
1993,DEMOCRAT
1994,DEMOCRAT
1995,DEMOCRAT
1996,DEMOCRAT
1997,DEMOCRAT
1998,DEMOCRAT
1999,DEMOCRAT
2000,DEMOCRAT
2001,REPUBLICAN
2002,REPUBLICAN
2003,REPUBLICAN
2004,REPUBLICAN
2005,REPUBLICAN
2006,REPUBLICAN
2007,REPUBLICAN
2008,REPUBLICAN
2009,DEMOCRAT
2010,DEMOCRAT
2011,DEMOCRAT
2012,DEMOCRAT
